店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
鍋屋 鈴蘭亭 中洲本店,050-5488-3235,,福岡県,福岡市博多区中洲三丁目,7-13,SAM’S BLD4 2F,https://fc2b700.gorp.jp/,True
博多名物「水だき」新三浦博多本店,050-5485-7161,,福岡県,福岡市博多区石城町,21-12,,https://f004700.gorp.jp/,True
薬膳火鍋 灯華,050-5492-6593,,福岡県,福岡市中央区西中洲,3-21,AG 西中洲ビル4F,https://fc4y400.gorp.jp/,True
平尾 開,050-5487-3333,,福岡県,福岡市中央区平尾三丁目,17-7,TYビル2F,https://f043703.gorp.jp/,True
博多中洲 旬菜万葉,050-5486-2707,,福岡県,福岡市博多区中洲五丁目,2-18,THE LIVELY FUKUOKA(ザ ライブリー福岡)B1,https://f048404.gorp.jp/,True
Japanese Cuisine 菜な 春吉店,050-5486-0384,,福岡県,福岡市中央区春吉三丁目,11-19,パノラマスクエア博多 B1,https://f737804.gorp.jp/,True
水炊き専門店 37（sunnana）,050-5493-7918,,福岡県,福岡市中央区春吉三丁目,11-19,パノラマスクエア博多1F,https://fbx3900.gorp.jp/,True
鍋ばた 新川橋,050-5485-6894,,福岡県,福岡市中央区渡辺通三丁目,6-32,佐竹会館,https://fbks302.gorp.jp/,True
鳥善 中洲店,050-5485-3433,,福岡県,福岡市博多区中洲二丁目,8-2,パインコート中州1F,https://f137406.gorp.jp/,True
博多水炊き あうん中洲五丁目,050-5494-3462,sakana-aun@aungroup.com,福岡県,福岡市博多区中洲五丁目,5-19,緑川ビル 2F,https://f026002.gorp.jp/,True
博多魚房 海さじ,050-5486-5261,,福岡県,福岡市博多区中洲二丁目,7-21,GIOテラスビル1F,https://fc4e400.gorp.jp/,True
博多 表邸,050-5488-3110,,福岡県,福岡市中央区大名二丁目,2-2,後藤ビル1F,https://f165910.gorp.jp/,True
博多 灯（ともり）,050-5487-9821,,福岡県,福岡市博多区住吉一丁目,6-13,1F,https://fbm0300.gorp.jp/,True
もつ鍋おおやま 天神別邸,050-5488-5879,,福岡県,福岡市中央区大名二丁目,9-5,グランドビル2F,https://f158513.gorp.jp/,True
旬の鮮魚ともつ鍋 博多やまや 福岡本店,050-5488-1969,,福岡県,福岡市中央区春吉三丁目,12-1,2F,https://fbzb301.gorp.jp/,True
水たき料亭 博多華味鳥 KITTE博多店,050-5484-6238,,福岡県,福岡市博多区博多駅中央街,9-1,KITTE博多9F,https://f435015.gorp.jp/,True
博多ほたる 西中洲本店,050-5494-8854,,福岡県,福岡市中央区西中洲,5-9,,https://f457427.gorp.jp/,True
もつ料理 津上,050-5493-0966,,福岡県,福岡市早良区飯倉三丁目,1-28,,https://fbm2300.gorp.jp/,True
芝,050-5486-1975,,福岡県,福岡市中央区西中洲,4-8,,https://fbym000.gorp.jp/,True
焼とり 鳥次,092-715-4301,,福岡県,福岡市中央区大手門一丁目,8-14,,https://fbm8000.gorp.jp/,True
幸陽丸,050-5486-3786,,福岡県,福岡市博多区中洲五丁目,4-6,リバーフェイス2F,https://f435200.gorp.jp/,True
一慶,092-752-0313,,福岡県,福岡市中央区西中洲,3-1,デルタウエスト2F,https://f408900.gorp.jp/,True
